pattern,fraction,method,model,RMSE
MAR,0.01,univariate,LinearRegression,70699.52063174301
MAR,0.01,univariate,RandomForestRegressor,49118.12426002373
MAR,0.01,multivariate,LinearRegression,70127.4322964021
MAR,0.01,multivariate,RandomForestRegressor,49619.53736200557
MAR,0.01,KNN,LinearRegression,70204.6620882245
MAR,0.01,KNN,RandomForestRegressor,49389.17951566429
MAR,0.1,univariate,LinearRegression,70857.0140344382
MAR,0.1,univariate,RandomForestRegressor,49392.69499524468
MAR,0.1,multivariate,LinearRegression,69094.7485137082
MAR,0.1,multivariate,RandomForestRegressor,49800.050329114194
MAR,0.1,KNN,LinearRegression,70077.5043627282
MAR,0.1,KNN,RandomForestRegressor,49971.28974107277
MAR,0.5,univariate,LinearRegression,87175.66581438764
MAR,0.5,univariate,RandomForestRegressor,48890.427804659405
MAR,0.5,multivariate,LinearRegression,56575.992163416035
MAR,0.5,multivariate,RandomForestRegressor,36983.51921235082
MAR,0.5,KNN,LinearRegression,62988.29594250608
MAR,0.5,KNN,RandomForestRegressor,45804.71933675865
MCAR,0.01,univariate,LinearRegression,70988.69650908766
MCAR,0.01,univariate,RandomForestRegressor,49765.63540716681
MCAR,0.01,multivariate,LinearRegression,70078.84376025596
MCAR,0.01,multivariate,RandomForestRegressor,49739.672295862576
MCAR,0.01,KNN,LinearRegression,70092.94611647555
MCAR,0.01,KNN,RandomForestRegressor,49475.0785989785
MCAR,0.1,univariate,LinearRegression,74665.7379308663
MCAR,0.1,univariate,RandomForestRegressor,49966.420926717714
MCAR,0.1,multivariate,LinearRegression,67913.1114515021
MCAR,0.1,multivariate,RandomForestRegressor,49750.3768933824
MCAR,0.1,KNN,LinearRegression,69324.32514581061
MCAR,0.1,KNN,RandomForestRegressor,49926.56686865418
MCAR,0.5,univariate,LinearRegression,87855.07798332094
MCAR,0.5,univariate,RandomForestRegressor,52682.33185355946
MCAR,0.5,multivariate,LinearRegression,51290.53412846718
MCAR,0.5,multivariate,RandomForestRegressor,40552.34958910085
MCAR,0.5,KNN,LinearRegression,51290.53412846718
MCAR,0.5,KNN,RandomForestRegressor,40436.04200978801
MNAR,0.01,univariate,LinearRegression,70226.46375887262
MNAR,0.01,univariate,RandomForestRegressor,49497.55167034254
MNAR,0.01,multivariate,LinearRegression,69942.50096343247
MNAR,0.01,multivariate,RandomForestRegressor,49540.74163688885
MNAR,0.01,KNN,LinearRegression,70062.18001290568
MNAR,0.01,KNN,RandomForestRegressor,49452.61265916075
MNAR,0.1,univariate,LinearRegression,72374.57487752888
MNAR,0.1,univariate,RandomForestRegressor,49591.98686732491
MNAR,0.1,multivariate,LinearRegression,68179.97948694759
MNAR,0.1,multivariate,RandomForestRegressor,48651.52070673167
MNAR,0.1,KNN,LinearRegression,69400.59859963632
MNAR,0.1,KNN,RandomForestRegressor,49449.56044797749
MNAR,0.5,univariate,LinearRegression,76100.32933315128
MNAR,0.5,univariate,RandomForestRegressor,48600.29467551815
MNAR,0.5,multivariate,LinearRegression,49501.72499077889
MNAR,0.5,multivariate,RandomForestRegressor,35303.175582664764
MNAR,0.5,KNN,LinearRegression,59242.643075991546
MNAR,0.5,KNN,RandomForestRegressor,45238.742060780954
